	cv_fold_1_rep_1	cv_fold_2_rep_1	cv_fold_3_rep_1	cv_fold_4_rep_1	cv_fold_5_rep_1	cv_fold_1_rep_2	cv_fold_2_rep_2	cv_fold_3_rep_2	cv_fold_4_rep_2	cv_fold_5_rep_2	cv_fold_1_rep_3	cv_fold_2_rep_3	cv_fold_3_rep_3	cv_fold_4_rep_3	cv_fold_5_rep_3	cv_fold_1_rep_4	cv_fold_2_rep_4	cv_fold_3_rep_4	cv_fold_4_rep_4	cv_fold_5_rep_4	cv_fold_1_rep_5	cv_fold_2_rep_5	cv_fold_3_rep_5	cv_fold_4_rep_5	cv_fold_5_rep_5	cv_fold_1_rep_6	cv_fold_2_rep_6	cv_fold_3_rep_6	cv_fold_4_rep_6	cv_fold_5_rep_6	cv_fold_1_rep_7	cv_fold_2_rep_7	cv_fold_3_rep_7	cv_fold_4_rep_7	cv_fold_5_rep_7	cv_fold_1_rep_8	cv_fold_2_rep_8	cv_fold_3_rep_8	cv_fold_4_rep_8	cv_fold_5_rep_8	cv_fold_1_rep_9	cv_fold_2_rep_9	cv_fold_3_rep_9	cv_fold_4_rep_9	cv_fold_5_rep_9	cv_fold_1_rep_10	cv_fold_2_rep_10	cv_fold_3_rep_10	cv_fold_4_rep_10	cv_fold_5_rep_10
Streptococcus_vestibularis	0.297279866	0.04816927	0.023199592	0.111883753	0.031292996	0	0	0.126419561	0.08810633	0.237277172	0.161181806	0.07446071	0.608521566	0.799669494	0	0.433019818	0.121426758	0	0.014291194	0.209842067	0.169495924	0	0.069352705	0.078198822	0.266583213	0.263619143	0.365743871	0.31757895	0.238233545	0	0.07468321	0.259718353	0.034868138	0.292929819	0.442562208	0	0.314689872	0.224092041	0	0.207000098	0.29058675	0.090590145	0.403315077	0.095419318	0.150919742	0	0	0.311344335	0.159645642	0.122090094
motu_linkage_group_14	0.225762778	0.072102031	0.055047432	0.082696098	0.054910838	0.040766792	0	0.481510936	0.134261285	0.112320449	0.334625329	0.270798019	0.201538021	0.025210531	0.139887395	0	0.315477556	0.014874262	0.464541187	0.024443375	0.382412749	0.150899996	0.272642621	0	0.146445242	0.185266586	0.392792857	0.149866497	0.143609957	0	0	0.412853622	0.06447344	0.354156103	0.111389997	0.037651026	0	0.42463399	0.033930163	0.200921297	0.324004166	0.333374176	0.287912847	0.085775953	0	0	0.048478001	0.297632889	0.231902149	0.204727379
Bacteroides_plebeius	0	0	-0.159660559	-0.227820583	-0.102799876	-0.015608005	0	-0.375720653	-0.195977107	-0.178032117	-0.746068723	-0.151740281	-0.221466566	0	-0.102700075	0	-0.047149812	-0.185939666	-0.659059006	0	-0.204430906	-0.049827576	-0.799465886	0	-0.121919647	0	0	-0.446991106	-0.263190664	0	-0.277744749	-0.205408625	-0.528313465	0	-0.283391079	0	-0.336562401	0	-0.08351736	-0.145024525	-0.200361592	0	-0.191526682	-0.119486331	-0.147584201	0	-0.003819646	-0.551318185	-0.247594445	-0.032032926
motu_linkage_group_624	0.032912762	0	0	0	0.177013804	0.048998363	0	0.174487563	0	0	0.361117108	0	0.342402745	0	0.115086428	0	0.13806737	0	0.21943022	0	0.096991024	0	0.419178628	0.086732925	0.070976664	0.124984363	0.248156583	0.297674519	0	0	0.132442121	0.196111971	0.072118669	0	0	0	0.042432525	0.119261515	0	0.008097843	0	0.278527943	0.100655997	0	0	0	0	0.045040796	0.127194567	0.119254973
motu_linkage_group_33	0	-0.126100388	-0.167584738	-0.262225293	-0.077927874	-0.058511473	-0.077774646	-0.238851864	-0.184637517	0	-0.16395962	-0.284522809	-0.302185251	-0.196123956	-0.190142939	-0.064517438	-0.288594154	-0.001557971	-0.461752151	-0.002513591	-0.229189975	-0.134664039	-0.205548563	-0.065466265	-0.007656811	-0.065096454	0	-0.454335736	-0.094814592	-0.187418387	-0.133524689	-0.0785218	-0.689195692	0	-0.305216492	-0.073669894	-0.082456125	-0.234799992	0	-0.289366687	-0.3430741	0	-0.333710755	-0.228830678	0	-0.037162794	0	-0.22859867	-0.453782004	0
motu_linkage_group_565	-0.139732342	-0.164178901	-0.175030863	0	-0.537375532	-0.332331706	0	-0.368031902	-0.533562753	0	-0.419249614	-0.117022271	-0.705758858	-0.464871944	-0.2867627	-0.246508509	-0.399180614	-0.018292022	-0.612251116	-0.251993748	-0.41578038	-0.168660699	-0.195542727	-0.174259841	-0.370530996	-0.120825741	-0.710158465	-0.377333292	-0.193721107	-0.205447293	-0.019656486	-0.439687949	-0.582777241	-0.36451343	-0.644562963	-0.198901433	-0.230808507	-0.624933397	0	-0.358638452	-0.493784829	-0.059015308	-0.418844326	-0.424951222	-0.292663302	-0.190744801	-0.031035246	-0.16249233	-0.144111365	-0.335579142
Lactobacillus_crispatus	0	0	0	-0.104808553	-0.051547392	0	0	-0.571937518	0	-0.403321115	-0.206501967	-0.245268	-0.267140529	-0.094173245	0	-0.179049947	0	-0.055016312	-0.579625917	0	0	0	0	-0.425168548	-0.041013546	0	-0.306318662	-0.477309205	0	0	-0.357522519	-0.181044472	-0.020055404	-0.489539918	0	0	0	-0.439480168	0	0	-0.174939117	0	-0.079135015	0	-0.004212023	0	0	-0.33107383	-0.096632618	0
Lachnospiraceae_bacterium_3_1_57FAA_CT1	-0.081832116	0	0	0	-0.258809071	0	0	-0.332925037	-0.11649051	0	-0.405247384	-0.071769872	-0.347527811	-0.090668075	0	-0.27257988	0	-0.11847758	-0.332748763	0	-0.077045448	0	-0.394877267	0	-0.315759644	-0.197436611	-0.356822961	-0.162210069	-0.186667771	0	0	-0.056153262	-0.458588822	-0.177675204	-0.177391745	-0.074962484	0	-0.055442974	-0.121243272	-0.169801969	-0.086886672	-0.019076682	-0.068693501	-0.193752464	-0.115011767	0	-0.013629418	-0.039920082	-0.237411625	-0.053843822
Veillonella_atypica	0.143018911	0	0.217861713	0.33162128	0.455585763	0.005716105	0	0.463563202	0.433804576	0.221945089	0.448307049	0.360955411	0.717587581	1.028926612	0.216360834	0.205785004	0.383274047	0.034913613	0	0.529772549	0.766280003	0.039276552	0.501208825	0	0.291402733	0.163528611	0.991605193	0.716301833	0.181834124	0.250316823	0.12268063	0.458263403	0.923840878	0.502747001	0.635752399	0.001461578	0.381782641	0.516140394	0	0.498191026	0.221062223	0.463167021	1.040027766	0.265763946	0.012412141	0.072655418	0.0007516	0.464322054	0.294410994	0.074172549
Bifidobacterium_dentium	-0.267656099	0	-0.016665463	-0.240923504	0	-0.285867884	0	-0.291780868	0	0	-0.14519375	-0.176115701	0	-0.401619256	-0.018122418	0	-0.119288304	0	-0.101224015	-0.092597373	-0.214874782	0	-0.551900359	0	-0.013875172	-0.038851805	-0.397445206	-0.087100557	-0.009279856	0	-0.06841645	-0.087972682	-0.358940226	-0.129438917	-0.20106611	0	-0.244862971	-0.120434563	0	-0.193788492	-0.000907237	-0.116221441	-0.235827511	-0.08865559	-0.085987106	-0.02705068	0	-0.375737012	-0.123115004	0
motu_linkage_group_190	0.088900516	0	0.180946563	0.608776968	0.1265665	0.344372331	0	0.437805785	0.086740758	0.158716279	0.441512973	0.221657414	0.050990596	0.438947581	0.362233373	0.02403946	0.249917195	0.116536413	0.563885847	0.24368856	0.252460389	0.229718514	0.407267345	0	0.345829284	0.098927936	0.147313639	0.749226353	0.112924861	0.119655962	0.261761011	0.21393408	0.844902063	0.211517365	0.330708472	0	0.535927166	0.216703916	0	0.407890261	0.315586698	0.181960154	0.067010217	0.239330208	0.306309597	0.16336779	0	0.549752592	0.233290718	0.058667234
Megasphaera_micronuciformis	0.146749588	0	0	0.144221927	0	0.066427233	0	0.312457094	0	0.200552859	0	0.069207923	0.017356239	0.233551193	0.017666404	0.120685121	0.013554382	0	0.022572435	0	0	0	0.118624675	0	0.082185109	0	0	0	0.147609383	0	0.003736453	0.202254883	0	0.119362043	0.317206316	0.090401926	0	0	0	0	0	0.024585963	0.041302328	0.032677409	0.081320318	0	0	0.211914798	0.197181918	0
motu_linkage_group_414	0.046684975	0	0	0.26355873	0	0	0	0.257799843	0.000289521	0	0.264225359	0.093738143	0.477485601	0	0	0.05703513	0.159857803	0	0.030706739	0	0.141308105	0	0.386809008	0	0	0	0.506713174	0.078014335	0	0	0	0.119144614	0.161946067	0.119414824	0.217966415	0	0.206380334	0.212999994	0.071653561	0	0.095213812	0.047275227	0	0.024652804	0	0	0	0.08396977	0.207742675	0
motu_linkage_group_625	-0.016421483	0	-0.052100257	-0.259355429	-0.247708035	0	0	-0.078592643	0	-0.425847348	-0.273044687	0	-0.388159244	-1.244892672	0	-0.258497949	-0.083615322	-0.23686143	0	0	-0.10862701	0	-0.448061482	-0.056985226	-0.087994947	-0.148158849	-0.181859471	0	-0.347079377	0	-0.149750034	-0.219059313	0	-0.063941544	-0.582561791	0	0	-0.7243311	0	0	0	-0.330323531	-0.178348923	-0.293442264	-0.076665314	0	0	-0.503681793	0	0
motu_linkage_group_233	0	-0.040547299	0	-0.175701216	0	0	0	-0.197754278	-0.146062641	0	-0.135271223	0	-0.347856799	0	0	0	-0.161061573	0	-0.106804107	-0.227803385	-0.028789059	0	-0.262149012	0	-0.265321136	-0.144438067	-0.388225816	-0.175764484	0	0	-0.022841128	-0.243833259	-0.313628896	-0.411213891	0	-0.042232271	-0.091393513	-0.301787147	0	0	0	-0.445025594	0	0	0	-0.131148439	0	-0.287088884	0	0
Lactobacillus_amylovorus	-0.276382248	0	-0.019258738	0	-0.635047614	0	0	-0.058358492	-0.192857178	-0.063887381	0	-0.136232831	0	-0.708278163	0	-0.345854734	-0.095073348	0	-0.704097619	0	-0.159658131	0	0	0	0	-0.418461926	-0.169181294	-0.528929203	0	0	-0.569695455	-0.635221037	-1.02839788	0	0	0	0	-0.030800581	0	0	-0.115917921	-0.183180998	-0.635291302	0	-0.094261156	-0.213369331	0	-0.281308894	-0.47541788	-0.0100468
motu_linkage_group_617	-0.288396233	0	-0.040575795	-0.102894139	-0.270056625	-0.078404149	0	-0.472947785	-0.238354035	0	-0.160205068	-0.078156714	0	-0.285805969	-0.055053748	-0.136864889	-0.229863425	0	-0.060154789	-0.199125749	-0.130935136	0	-0.171573354	-0.034376459	-0.242366288	-0.254233921	0	0	-0.303286338	-0.090528175	-0.193736155	0	-0.052159251	-0.079275347	0	-0.012708517	-0.213271068	0	-0.114306846	-0.313411534	-0.050589875	-0.137219199	-0.245091004	-0.035949108	-0.232652475	-0.44822482	0	-0.003426878	-0.154358673	-0.152640689
